# M/Ms Teff L/Ls g R/Rs Li/Li0 F33 F33B F41 F45B F47 F51 FHa F57 F63B F67 F75 F78 F82 F82B F89 G_RSV G G_BP G_RP Age Z
0.01 2387.0 -2.47 3.38 0.339 1.0 18.562 18.562 18.033 17.47 17.525 16.761 15.253 16.897 15.54 14.715 12.506 12.611 11.505 11.744 10.7 11.657 13.412 16.986 11.823 5.698970004336019 0.0152
0.015 2514.0 -2.21 3.38 0.413 1.0 17.078 17.078 16.437 16.059 16.145 15.458 14.14 15.636 14.409 13.614 11.399 11.548 10.563 10.784 9.851 10.635 12.473 15.708 10.921 5.698970004336019 0.0152
0.02 2594.0 -2.05 3.4 0.466 1.0 16.282 16.282 15.58 15.254 15.343 14.693 13.446 14.856 13.715 12.945 10.766 10.923 10.01 10.22 9.353 10.039 11.915 14.933 10.387 5.698970004336019 0.0152
0.03 2668.0 -1.79 3.36 0.599 1.0 15.286 15.286 14.537 14.263 14.363 13.743 12.524 13.87 12.8 12.056 9.931 10.088 9.233 9.434 8.618 9.236 11.127 13.954 9.622 5.698970004336019 0.0152
0.04 2733.0 -1.66 3.4 0.661 1.0 14.749 14.749 13.969 13.689 13.774 13.174 11.956 13.245 12.243 11.525 9.467 9.618 8.817 9.009 8.242 8.793 10.698 13.358 9.214 5.698970004336019 0.0152
0.05 2762.0 -1.48 3.34 0.791 1.0 14.195 14.195 13.398 13.152 13.251 12.663 11.463 12.736 11.751 11.039 8.993 9.146 8.357 8.547 7.792 8.332 10.234 12.839 8.757 5.698970004336019 0.0152
0.06 2808.0 -1.4 3.37 0.841 1.0 13.863 13.863 13.05 12.798 12.885 12.311 11.113 12.354 11.408 10.712 8.709 8.857 8.099 8.285 7.559 8.061 9.967 12.473 8.504 5.698970004336019 0.0152
0.07 2835.0 -1.33 3.37 0.9 1.0 13.624 13.624 12.805 12.554 12.637 12.073 10.887 12.115 11.182 10.491 8.497 8.647 7.897 8.082 7.365 7.858 9.762 12.233 8.304 5.698970004336019 0.0152
0.072 2832.0 -1.29 3.35 0.937 1.0 13.543 13.543 12.724 12.482 12.572 12.007 10.824 12.056 11.118 10.425 8.424 8.576 7.821 8.007 7.286 7.785 9.687 12.168 8.228 5.698970004336019 0.0152
0.075 2836.0 -1.27 3.34 0.966 1.0 13.46 13.46 12.64 12.403 12.495 11.932 10.752 11.984 11.046 10.353 8.351 8.504 7.749 7.934 7.214 7.714 9.614 12.093 8.155 5.698970004336019 0.0152
0.08 2837.0 -1.2 3.31 1.04 1.0 13.29 13.29 12.467 12.246 12.347 11.786 10.613 11.849 10.906 10.21 8.199 8.355 7.596 7.782 7.058 7.565 9.463 11.948 8.002 5.698970004336019 0.0152
0.09 2864.0 -1.13 3.31 1.101 1.0 13.077 13.077 12.248 12.03 12.128 11.577 10.417 11.641 10.71 10.018 8.015 8.173 7.42 7.605 6.889 7.388 9.284 11.738 7.827 5.698970004336019 0.0152
0.1 2925.0 -1.15 3.41 1.033 1.0 13.009 13.009 12.168 11.909 11.972 11.44 10.289 11.469 10.587 9.916 7.969 8.117 7.402 7.582 6.902 7.354 9.252 11.593 7.815 5.698970004336019 0.0152
0.11 2945.0 -1.07 3.38 1.115 1.0 12.767 12.767 11.915 11.662 11.726 11.2 10.06 11.23 10.357 9.691 7.754 7.902 7.194 7.373 6.701 7.146 9.041 11.351 7.608 5.698970004336019 0.0152
0.13 3006.0 -0.93 3.34 1.27 1.0 12.277 12.277 11.384 11.133 11.188 10.68 9.561 10.694 9.859 9.208 7.318 7.46 6.781 6.955 6.311 6.724 8.614 10.821 7.197 5.698970004336019 0.0152
0.15 3076.0 -0.79 3.31 1.412 1.0 11.861 11.861 10.858 10.595 10.631 10.145 9.029 10.095 9.324 8.703 6.91 7.025 6.397 6.564 5.963 6.32 8.202 10.257 6.815 5.698970004336019 0.0152
0.17 3139.0 -0.67 3.28 1.565 1.0 11.49 11.49 10.439 10.148 10.163 9.69 8.579 9.6 8.87 8.27 6.55 6.648 6.056 6.217 5.647 5.967 7.838 9.787 6.473 5.698970004336019 0.0152
0.2 3220.0 -0.54 3.26 1.728 1.0 11.092 11.092 10.023 9.679 9.658 9.201 8.097 9.07 8.385 7.808 6.172 6.252 5.701 5.855 5.319 5.601 7.453 9.286 6.115 5.698970004336019 0.0152
0.3 3460.0 -0.2 3.23 2.203 1.0 10.061 10.061 8.929 8.37 8.231 7.828 6.734 7.525 6.99 6.498 5.182 5.182 4.771 4.9 4.473 4.642 6.388 7.856 5.158 5.698970004336019 0.0152
0.4 3670.0 -0.05 3.3 2.338 1.0 9.452 9.452 8.306 7.551 7.32 6.968 5.857 6.482 6.079 5.67 4.682 4.604 4.326 4.427 4.089 4.18 5.763 6.92 4.66 5.698970004336019 0.0152
0.5 3848.0 0.07 3.36 2.444 1.0 8.788 8.788 7.687 6.835 6.56 6.241 5.114 5.639 5.318 4.972 4.255 4.141 3.951 4.028 3.753 3.81 5.202 6.132 4.223 5.698970004336019 0.0152
0.6 3987.0 0.16 3.41 2.524 1.0 8.286 8.286 7.248 6.384 6.1 5.79 4.639 5.149 4.852 4.528 3.975 3.854 3.703 3.768 3.524 3.568 4.835 5.65 3.931 5.698970004336019 0.0152
0.7 4110.0 0.26 3.43 2.657 1.0 7.752 7.752 6.818 6.038 5.743 5.518 4.188 4.755 4.439 4.107 3.686 3.56 3.432 3.492 3.266 3.301 4.49 5.254 3.625 5.698970004336019 0.0152
0.8 4221.0 0.35 3.44 2.805 1.0 7.233 7.233 6.39 5.644 5.361 5.131 3.822 4.393 4.086 3.765 3.418 3.298 3.183 3.237 3.027 3.058 4.173 4.876 3.351 5.698970004336019 0.0152
