# M/Ms Teff L/Ls g R/Rs Li/Li0 Mv Mr Mi Mj Mh Mk Ml Mll Mm Age Z
0.01 2387.0 -2.47 3.38 0.339 1.0 16.87 14.32 11.81 8.77 8.3 7.83 7.44 7.15 7.3 5.698970004336019 0.0152
0.015 2514.0 -2.21 3.38 0.413 1.0 15.56 13.26 10.84 8.13 7.67 7.24 6.87 6.61 6.73 5.698970004336019 0.0152
0.02 2594.0 -2.05 3.4 0.466 1.0 14.78 12.62 10.26 7.74 7.28 6.87 6.53 6.28 6.38 5.698970004336019 0.0152
0.03 2668.0 -1.79 3.36 0.599 1.0 13.8 11.77 9.47 7.08 6.62 6.24 5.92 5.67 5.77 5.698970004336019 0.0152
0.04 2733.0 -1.66 3.4 0.661 1.0 13.2 11.28 9.04 6.78 6.3 5.95 5.65 5.41 5.5 5.698970004336019 0.0152
0.05 2762.0 -1.48 3.34 0.791 1.0 12.69 10.8 8.57 6.34 5.86 5.52 5.24 5.0 5.09 5.698970004336019 0.0152
0.06 2808.0 -1.4 3.37 0.841 1.0 12.32 10.49 8.31 6.15 5.66 5.33 5.06 4.83 4.92 5.698970004336019 0.0152
0.07 2835.0 -1.33 3.37 0.9 1.0 12.08 10.28 8.1 5.97 5.48 5.16 4.9 4.67 4.76 5.698970004336019 0.0152
0.072 2832.0 -1.29 3.35 0.937 1.0 12.02 10.21 8.03 5.89 5.39 5.07 4.82 4.58 4.67 5.698970004336019 0.0152
0.075 2836.0 -1.27 3.34 0.966 1.0 11.94 10.14 7.96 5.82 5.32 5.0 4.75 4.51 4.6 5.698970004336019 0.0152
0.08 2837.0 -1.2 3.31 1.04 1.0 11.81 9.99 7.81 5.65 5.15 4.84 4.59 4.35 4.45 5.698970004336019 0.0152
0.09 2864.0 -1.13 3.31 1.101 1.0 11.6 9.8 7.63 5.5 4.99 4.69 4.45 4.21 4.31 5.698970004336019 0.0152
0.1 2925.0 -1.15 3.41 1.033 1.0 11.43 9.73 7.6 5.57 5.05 4.76 4.54 4.31 4.4 5.698970004336019 0.0152
0.11 2945.0 -1.07 3.38 1.115 1.0 11.2 9.51 7.39 5.37 4.84 4.56 4.35 4.12 4.22 5.698970004336019 0.0152
0.13 3006.0 -0.93 3.34 1.27 1.0 10.66 9.05 6.97 5.02 4.45 4.2 4.02 3.79 3.9 5.698970004336019 0.0152
0.15 3076.0 -0.79 3.31 1.412 1.0 10.09 8.58 6.57 4.72 4.12 3.88 3.72 3.51 3.62 5.698970004336019 0.0152
0.17 3139.0 -0.67 3.28 1.565 1.0 9.6 8.18 6.23 4.44 3.79 3.57 3.44 3.24 3.35 5.698970004336019 0.0152
0.2 3220.0 -0.54 3.26 1.728 1.0 9.09 7.74 5.86 4.15 3.46 3.26 3.14 2.96 3.08 5.698970004336019 0.0152
0.3 3460.0 -0.2 3.23 2.203 1.0 7.6 6.51 4.9 3.42 2.63 2.45 2.37 2.26 2.4 5.698970004336019 0.0152
0.4 3670.0 -0.05 3.3 2.338 1.0 6.63 5.73 4.42 3.14 2.33 2.17 2.09 2.02 2.17 5.698970004336019 0.0152
0.5 3848.0 0.07 3.36 2.444 1.0 5.83 5.05 4.02 2.88 2.1 1.96 1.88 1.85 1.99 5.698970004336019 0.0152
0.6 3987.0 0.16 3.41 2.524 1.0 5.36 4.62 3.76 2.71 1.96 1.83 1.75 1.73 1.87 5.698970004336019 0.0152
0.7 4110.0 0.26 3.43 2.657 1.0 5.0 4.22 3.48 2.49 1.78 1.66 1.59 1.58 1.71 5.698970004336019 0.0152
0.8 4221.0 0.35 3.44 2.805 1.0 4.63 3.88 3.23 2.29 1.62 1.51 1.44 1.43 1.55 5.698970004336019 0.0152
0.9 4315.0 0.43 3.45 2.944 1.0 4.34 3.61 3.01 2.11 1.48 1.37 1.3 1.29 1.41 5.698970004336019 0.0152
1.0 4397.0 0.5 3.46 3.079 1.0 4.09 3.39 2.82 1.96 1.35 1.25 1.18 1.17 1.29 5.698970004336019 0.0152
1.1 4471.0 0.57 3.47 3.209 1.0 3.87 3.2 2.66 1.81 1.23 1.14 1.07 1.06 1.18 5.698970004336019 0.0152
1.2 4537.0 0.63 3.47 3.344 1.0 3.67 3.03 2.5 1.68 1.12 1.03 0.96 0.96 1.07 5.698970004336019 0.0152
1.3 4596.0 0.68 3.47 3.469 1.0 3.49 2.87 2.36 1.56 1.02 0.93 0.87 0.86 0.97 5.698970004336019 0.0152
1.4 4647.0 0.74 3.47 3.601 1.0 3.33 2.73 2.22 1.45 0.92 0.83 0.77 0.77 0.87 5.698970004336019 0.0152
0.01 2345.0 -2.7 3.57 0.271 1.0 17.66 15.02 12.47 9.33 8.83 8.36 7.96 7.66 7.86 6.0 0.0152
0.015 2504.0 -2.42 3.59 0.326 1.0 16.12 13.8 11.37 8.66 8.19 7.76 7.39 7.12 7.26 6.0 0.0152
0.02 2598.0 -2.25 3.6 0.372 1.0 15.21 13.07 10.72 8.23 7.76 7.36 7.01 6.76 6.88 6.0 0.0152
0.03 2710.0 -1.98 3.58 0.467 1.0 14.02 12.08 9.84 7.57 7.1 6.73 6.41 6.18 6.27 6.0 0.0152
0.04 2779.0 -1.81 3.58 0.536 1.0 13.33 11.51 9.32 7.18 6.7 6.35 6.05 5.82 5.91 6.0 0.0152
0.05 2824.0 -1.65 3.54 0.628 1.0 12.8 11.03 8.87 6.78 6.29 5.96 5.68 5.45 5.54 6.0 0.0152
0.06 2864.0 -1.53 3.52 0.702 1.0 12.42 10.69 8.54 6.48 5.99 5.67 5.41 5.18 5.27 6.0 0.0152
0.07 2897.0 -1.41 3.5 0.781 1.0 12.1 10.38 8.25 6.21 5.71 5.41 5.16 4.93 5.02 6.0 0.0152
0.072 2896.0 -1.39 3.49 0.803 1.0 12.05 10.33 8.19 6.15 5.65 5.35 5.1 4.88 4.97 6.0 0.0152
0.075 2897.0 -1.36 3.48 0.829 1.0 11.98 10.26 8.12 6.08 5.58 5.28 5.03 4.8 4.9 6.0 0.0152
0.08 2898.0 -1.31 3.45 0.877 1.0 11.87 10.15 8.01 5.95 5.45 5.15 4.91 4.68 4.78 6.0 0.0152
0.09 2908.0 -1.23 3.43 0.959 1.0 11.66 9.93 7.8 5.75 5.24 4.94 4.71 4.48 4.58 6.0 0.0152
0.1 2936.0 -1.17 3.44 1.002 1.0 11.43 9.75 7.63 5.62 5.1 4.81 4.59 4.36 4.46 6.0 0.0152
0.11 2955.0 -1.1 3.41 1.079 1.0 11.21 9.54 7.43 5.43 4.9 4.63 4.42 4.19 4.29 6.0 0.0152
0.13 3012.0 -0.96 3.38 1.214 1.0 10.7 9.11 7.04 5.11 4.55 4.29 4.11 3.88 3.99 6.0 0.0152
0.15 3078.0 -0.85 3.37 1.327 1.0 10.18 8.69 6.69 4.85 4.26 4.02 3.86 3.64 3.75 6.0 0.0152
0.17 3142.0 -0.73 3.34 1.465 1.0 9.7 8.29 6.34 4.58 3.94 3.72 3.58 3.38 3.49 6.0 0.0152
0.2 3226.0 -0.66 3.38 1.503 1.0 9.3 7.98 6.12 4.44 3.78 3.57 3.45 3.26 3.38 6.0 0.0152
0.3 3428.0 -0.48 3.49 1.636 1.0 8.31 7.2 5.55 4.08 3.35 3.16 3.07 2.93 3.06 6.0 0.0152
0.4 3634.0 -0.32 3.55 1.753 1.0 7.26 6.36 5.04 3.77 2.99 2.83 2.74 2.66 2.79 6.0 0.0152
0.5 3802.0 -0.18 3.59 1.87 1.0 6.55 5.75 4.65 3.5 2.72 2.57 2.49 2.45 2.59 6.0 0.0152
0.6 3955.0 -0.07 3.63 1.971 1.0 5.98 5.24 4.33 3.26 2.51 2.38 2.31 2.28 2.42 6.0 0.0152
