Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,r50,nbstars07,pmRA*,e_pmRA*,pmDE,e_pmDE,plx,e_plx,AgeNN,AVNN,DMNN,DistPc,X,Y,Z,Rgc
ASCC_10,51.87,34.981,155.723,-17.77,0.558,65,-1.737,0.159,-1.368,0.143,1.459,0.1,8.42,0.63,9.1,660.0,-573.0,258.0,-201.0,8917.0
ASCC_101,288.399,36.369,68.028,11.608,0.372,69,0.934,0.205,1.288,0.258,2.488,0.057,8.69,0.19,8.08,412.0,151.0,374.0,83.0,8197.0
ASCC_105,295.548,27.366,62.825,2.063,0.648,113,1.464,0.162,-1.635,0.145,1.783,0.065,7.87,0.41,8.77,567.0,259.0,504.0,20.0,8096.0
ASCC_107,297.164,21.987,58.904,-1.901,0.174,57,-0.155,0.101,-5.156,0.115,1.109,0.049,7.23,1.69,9.7,870.0,449.0,744.0,-28.0,7925.0
ASCC_108,298.306,39.349,74.378,6.074,0.537,188,-0.519,0.099,-1.69,0.129,0.838,0.048,8.03,0.34,10.32,1160.0,310.0,1110.0,122.0,8105.0
ASCC_11,53.056,44.856,150.546,-9.224,0.312,245,0.926,0.163,-3.03,0.147,1.141,0.061,8.39,0.6,9.69,867.0,-745.0,421.0,-139.0,9095.0
ASCC_110,300.742,33.528,70.411,1.378,0.203,65,0.271,0.064,-3.132,0.05,0.497,0.036,8.9,0.75,11.47,1971.0,660.0,1856.0,47.0,7900.0
ASCC_111,302.891,37.515,74.714,2.056,0.537,136,-1.15,0.151,-1.524,0.154,1.166,0.059,8.44,0.39,9.65,851.0,224.0,820.0,30.0,8157.0
ASCC_113,317.933,38.638,82.877,-6.589,0.529,175,0.8,0.125,-3.679,0.163,1.762,0.041,8.46,0.13,8.75,563.0,69.0,555.0,-64.0,8289.0
ASCC_114,324.99,53.997,97.082,1.028,0.216,134,-3.716,0.11,-3.421,0.115,1.066,0.037,7.68,0.92,9.79,908.0,-111.0,901.0,16.0,8499.0
ASCC_115,329.28,51.558,97.528,-2.504,0.25,32,-0.549,0.068,-0.543,0.088,1.311,0.034,8.12,0.72,9.32,731.0,-95.0,724.0,-31.0,8466.0
