Cluster,kind,RA,DEC,plx,e_plx,CMDclass,quality,logAge_16,logAge_50,logAge_84,FeH_16,FeH_50,FeH_84,Av_16,Av_50,Av_84,dMod_16,dMod_50,dMod_84,X,Y,Z,Rgc
UFMG_34,o,233.84304383151087,-57.66728475290947,0.41,0.055,0.97,0,8.92,8.99,9.06,0.1,0.23,0.34,3.4,3.5,3.6,11.15,11.32,11.48,1.4752085549191234,-1.092732491349619,-0.0098498665701325,6.736
Teutsch_14a,o,270.86752059472013,-22.14068530076917,0.306,0.068,0.12,1,7.17,7.3,7.44,-0.18,-0.0,0.15,4.81,4.93,5.04,11.89,12.18,12.47,2.703113979659789,0.3749222520517368,0.0331238541136002,5.432
CWNU_490,o,192.98183153607923,-60.83496438233295,0.507,0.029,0.97,0,7.17,7.27,7.38,-0.31,-0.2,-0.06,0.93,1.0,1.08,10.95,11.15,11.35,0.9243132629991412,-1.4235038139715628,0.0995881191481783,7.337
CWNU_2558,o,101.2618720895294,0.9032071560518375,0.667,0.045,1.0,0,8.18,8.32,8.44,-0.04,0.08,0.22,0.77,0.84,0.91,10.67,10.83,11.02,-1.250769409874971,-0.7634316079864683,0.0189745499405569,9.404
BH_56,o,134.40658365252452,-43.1309475966226,1.103,0.045,0.97,0,6.63,6.73,6.84,-0.22,-0.12,-0.01,0.98,1.06,1.13,9.6,9.8,9.98,-0.0879794213249667,-0.9073870944816972,0.0674334302484093,8.26
HSC_1341,o,80.5872541099037,35.55399196031121,0.965,0.061,0.96,0,7.84,8.0,8.17,0.42,0.57,0.74,0.43,0.55,0.64,9.77,10.0,10.24,-0.9896634916780602,0.1430659374692521,0.0348477475264183,9.113
FSR_1172,o,103.8847289296161,-11.029894719788803,0.408,0.048,1.0,0,8.35,8.44,8.55,0.25,0.41,0.58,1.66,1.74,1.84,11.65,11.87,12.05,-1.7198572821621934,-1.616274463986841,-0.123421778448857,9.974
HSC_961,o,7.874927069017144,59.57131717092676,0.621,0.041,0.97,0,8.69,8.82,8.92,0.5,0.64,0.78,1.46,1.56,1.64,10.9,11.07,11.26,-0.8273379774341638,1.409488303860843,-0.0477243866325655,9.06
CWNU_313,o,295.32927842168743,-0.6807115030239752,1.725,0.045,0.98,0,7.39,7.49,7.58,0.1,0.26,0.38,0.92,1.0,1.08,8.79,8.97,9.13,0.4799308514563529,0.3762036973889308,-0.0825787620438247,7.651
UBC_423,o,48.335640030897466,58.95357507183837,0.39,0.037,0.97,0,7.09,7.19,7.3,0.51,0.67,0.81,2.54,2.61,2.69,11.79,11.98,12.21,-1.915919912761094,1.5878787159176335,0.0885123089013628,10.163
UBC_1205,o,8.331406621223952,65.2797447509341,0.253,0.057,0.96,1,8.2,8.31,8.46,-0.17,0.02,0.2,3.79,3.92,4.05,12.69,13.01,13.32,-2.059751239102006,3.4236275096554216,0.2195608812646545,10.742
UBC_1455,o,131.69391671964468,-54.638180935392,0.708,0.03,0.99,0,8.75,8.83,8.9,0.72,0.88,1.04,0.49,0.57,0.65,10.94,11.13,11.34,0.0638449141117938,-1.66856159427941,-0.1662976406866964,8.229
UBC_1537,o,232.82669094377792,-57.993003493209216,0.447,0.051,0.97,0,8.32,8.43,8.53,0.32,0.46,0.63,2.69,2.77,2.86,11.17,11.37,11.54,1.4972180561529234,-1.1347424834072342,-0.0094787562089008,6.721
ESO_393-15,o,265.90771465721,-34.21879543791516,0.382,0.048,0.95,0,7.29,7.5,7.68,-1.22,-1.01,-0.79,3.31,3.46,3.59,10.49,10.82,11.14,1.4524439340142283,-0.1201143398815249,-0.0231732784538545,6.671
NGC_6981,g,313.36618975396703,-12.535770742799802,0.041,0.068,0.48,0,9.73,9.82,9.93,-0.32,-0.15,0.03,0.0,0.07,0.19,14.29,14.56,14.82,5.607362782934467,3.958282214869469,-4.382251279178752,4.689
CWNU_1092,o,90.89207460114388,8.23928857168848,2.383,0.058,0.9,0,7.22,7.33,7.46,0.24,0.36,0.5,0.52,0.65,0.77,7.94,8.16,8.39,-0.3998545675620075,-0.1460274972692984,-0.0076425538658898,8.523
Berkeley_98,o,340.66146105136727,52.40763964642494,0.253,0.045,0.96,0,9.35,9.43,9.52,-1.07,-0.91,-0.76,1.36,1.47,1.6,11.83,12.07,12.29,-0.6193785790392496,2.506414582247909,-0.211361829036573,9.094
Theia_766,o,270.30215829669777,-37.88447030182048,1.423,0.039,1.0,0,8.4,8.56,8.72,-0.84,-0.7,-0.55,0.46,0.56,0.66,8.79,9.03,9.23,0.6307429960649529,-0.0675350401342312,-0.0414454607631075,7.492
HSC_2337,o,160.7896436245135,-53.54147934887487,0.504,0.024,1.0,0,8.05,8.18,8.29,-0.3,-0.16,0.02,0.52,0.6,0.67,11.24,11.43,11.64,0.4817856915196703,-1.864417554032574,0.1976672052428773,7.864
Theia_1756,o,273.8954091835563,-16.500151840314977,0.325,0.077,0.08,3,7.13,7.28,7.43,-0.06,0.12,0.29,4.52,4.65,4.81,12.07,12.43,12.8,2.968240347396879,0.7518766635912585,0.0445837698232284,5.208
HSC_390,o,316.5317135129303,-4.0751026930189855,2.554,0.056,0.82,0,8.12,8.3,8.45,-0.07,0.06,0.18,0.49,0.57,0.65,7.92,8.08,8.25,0.2448307951832928,0.2519014768609865,-0.1757126951262439,7.881
UBC_240,o,121.30489026100138,-33.01462269616145,0.393,0.039,0.99,0,8.2,8.28,8.36,-0.31,-0.15,-0.02,1.53,1.58,1.63,11.68,11.82,11.98,-0.782099336983169,-2.1755967261526754,0.0151151962737178,9.166
CWNU_2573,o,203.2079318067667,-63.85531074068288,0.339,0.032,1.0,0,7.64,7.82,8.02,-0.33,-0.15,0.1,1.29,1.4,1.5,11.55,11.84,12.08,1.4191367369311187,-1.851410793266122,-0.0169757493647102,6.954
CWNU_1024,o,103.15570543500814,-25.58670848138913,2.497,0.048,0.99,0,6.95,7.05,7.14,-0.24,-0.16,-0.08,0.34,0.43,0.5,7.95,8.09,8.21,-0.22710960789043,-0.338067236064354,-0.0378136579805918,8.356
CWNU_1566,o,345.8508932741248,60.02582923464232,0.317,0.038,0.48,0,7.08,7.2,7.33,0.41,0.6,0.81,3.02,3.13,3.22,12.7,12.98,13.24,-1.3373307967360475,3.710947336591445,0.0404669166798718,10.161
FSR_1335,o,123.03478454562666,-28.97821373071222,0.16,0.046,0.97,0,8.65,8.78,8.92,-0.66,-0.52,-0.34,0.42,0.53,0.65,12.48,12.71,12.97,-1.323183408156245,-3.2178203796209752,0.2108208432972475,9.978
Alessi-Teutsch_5,o,332.08485482652884,61.065066633185495,1.123,0.047,1.0,0,6.58,6.7,6.8,-0.35,-0.23,-0.1,1.31,1.41,1.51,9.52,9.74,9.93,-0.2207615578582338,0.8567568934333947,0.1069145438584206,8.387
CWNU_1512,o,105.00509131171702,-3.973222098661254,0.374,0.044,0.86,0,8.24,8.37,8.51,0.15,0.3,0.46,1.72,1.87,1.99,11.44,11.71,11.97,-1.7449046599114268,-1.3363148999500274,0.0496801314765167,9.957
HSC_2203,o,141.9914145419279,-47.32773120490756,0.245,0.061,0.2,0,7.82,7.92,8.02,-0.01,0.12,0.24,4.83,4.93,5.03,13.72,13.94,14.17,0.1264917889225856,-6.12998841827158,0.320218834263975,10.075
UBC_614,o,80.10498869756712,30.212419114307096,0.518,0.042,0.62,0,8.78,8.88,8.98,0.1,0.27,0.42,1.09,1.25,1.35,11.14,11.36,11.58,-1.8619670831403248,0.1320241510768223,-0.0808773105575514,9.985
ESO_312-04,o,126.75332906165356,-41.25576327547287,0.171,0.05,0.13,0,7.89,8.02,8.17,0.28,0.48,0.67,2.29,2.37,2.45,13.18,13.44,13.68,-0.889428840003804,-4.791344395192303,-0.1008454733934148,10.206
