,_Glon,_Glat,Cluster,RA_ICRS,DE_ICRS,N,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,RV,e_RV,Dist,e_Dist,logage,e_logage,[Fe/H],e_[Fe/H],Av,e_Av,dr3_rv,e_dr3_rv,N_stars_dr3_rv,ra_duarte,dec_duarte
0,155.707379,-17.743708,ASCC_10,51.8737,35.0113,31,-1.704,0.168,-1.348,0.141,1.465,0.082,-10.87,5.243,643,30,8.178,0.155,0.109,0.1,0.82,0.11,-18.871424654403107,4.916841557515782,41.0,51.89373385687954,34.879635888061976
1,68.031685,11.59174,ASCC_101,288.419,36.3653,72,0.924,0.272,1.364,0.289,2.502,0.068,-19.198,2.884,397,1,8.521,0.162,0.004,0.064,0.152,0.071,-19.564663073470832,1.8043872876205476,39.0,288.355397070048,36.39633886881997
2,62.858154,1.99905,ASCC_105,295.6291,27.3637,126,1.461,0.24,-1.611,0.199,1.786,0.066,-14.302,4.09,545,8,8.328,0.138,0.051,0.055,0.45,0.039,-16.22511401737517,3.039578095065953,59.0,295.5316028346124,27.4012760826072
3,58.919569,-1.890043,ASCC_107,297.1623,22.0071,59,-0.144,0.135,-5.158,0.141,1.118,0.055,,,864,30,7.44,0.121,0.353,0.103,1.372,0.129,-6.272635264533984,6.85023730287361,26.0,297.1603883659368,21.97731242232584
4,74.35136,6.049022,ASCC_108,298.3162,39.3132,228,-0.509,0.101,-1.691,0.129,0.837,0.048,,,1138,31,8.334,0.108,0.093,0.093,0.464,0.071,-8.49503424423461,5.626795023060062,52.0,298.31020812205657,39.38070863505244
5,150.545345,-9.195826,ASCC_11,53.0779,44.8787,274,0.95,0.196,-3.022,0.202,1.142,0.064,-14.242,0.233,849,20,8.66,0.063,-0.056,0.064,0.917,0.075,-14.698233247178218,0.8242600328984201,89.0,53.04946547521029,44.835427118734
6,70.442308,1.367418,ASCC_110,300.7723,33.5487,68,0.278,0.069,-3.134,0.075,0.495,0.036,-1.178,0.856,1583,143,8.795,0.084,0.14,0.195,1.228,0.122,-1.80761190132834,0.7677229342148795,14.0,300.7253536470488,33.50634606170442
7,74.633295,2.129723,ASCC_111,302.7576,37.4883,153,-1.168,0.218,-1.525,0.163,1.168,0.063,-22.689,1.165,819,18,8.507,0.209,0.08,0.096,0.605,0.084,-23.417770534633124,0.7476316183950359,47.0,302.9087064279247,37.50283732054031
8,82.924419,-6.716145,ASCC_113,318.0929,38.5861,96,0.798,0.134,-3.688,0.145,1.762,0.043,-4.195,3.867,559,9,8.455,0.226,-0.052,0.111,0.279,0.132,-5.690863801566656,2.477329140991396,51.0,317.87963212127084,38.504010505260695
9,97.078544,1.033586,ASCC_114,324.979,53.999,149,-3.754,0.21,-3.435,0.145,1.063,0.039,,,911,12,7.632,0.271,0.035,0.078,1.216,0.091,-12.081602877607075,6.16553236981726,32.0,325.0298749361121,54.004881525989255
10,97.52405,-2.544524,ASCC_115,329.3149,51.524,38,-0.549,0.085,-0.551,0.107,1.313,0.031,,,742,17,8.389,0.239,0.05,0.174,0.945,0.204,-11.77730505637824,6.995636099047711,18.0,329.2758308407539,51.5734324768357
11,162.971017,-1.848062,ASCC_12,72.4335,41.7837,162,-0.616,0.229,-2.81,0.176,0.936,0.083,-69.436,0.367,1010,36,8.356,0.262,-0.114,0.081,1.088,0.082,-18.958585462298373,1.9689346977777933,31.0,72.39702318507568,41.73565600070647
12,104.485191,-3.955289,ASCC_123,340.2234,54.1737,51,12.309,0.417,-1.553,0.379,4.287,0.15,-3.225,1.738,233,1,7.793,0.083,-0.006,0.072,0.306,0.062,-3.183027597588471,1.2611134974711202,16.0,340.7346055225783,53.92770813759129
13,112.317229,4.18176,ASCC_127,347.1807,64.9151,113,7.49,0.261,-1.781,0.319,2.618,0.08,-11.267,2.676,365,10,7.496,0.131,0.152,0.115,0.668,0.08,-13.445020074541864,2.060795103119689,39.0,347.2918289424697,65.04231171668637
14,109.752273,-6.106248,ASCC_128,349.9374,54.4024,71,1.213,0.154,0.188,0.131,1.507,0.057,,,650,11,8.243,0.223,0.025,0.056,0.613,0.037,-15.859749538851796,4.447144766274287,45.0,349.93048311527514,54.41415281708981
15,163.519825,3.153807,ASCC_13,78.3057,44.4212,110,-0.477,0.111,-1.737,0.108,0.899,0.076,,,1066,26,7.615,0.098,-0.075,0.078,0.915,0.027,-8.885753316499647,6.626250606406959,18.0,78.2450866610193,44.3955935437264
16,201.168894,-18.383851,ASCC_16,81.2025,1.6256,207,1.363,0.28,0.002,0.274,2.844,0.113,21.308,1.696,348,3,7.088,0.061,-0.062,0.069,0.224,0.045,19.80336610087625,1.7140872894174377,90.0,81.18039316960017,1.6696686619930208
17,204.900437,-19.407038,ASCC_19,82.0035,-1.9617,173,1.112,0.263,-1.303,0.241,2.756,0.088,23.576,2.719,356,2,7.139,0.03,0.076,0.077,0.189,0.043,19.91423422205822,1.7939514757101995,35.0,81.94884134837939,-1.9343141475378716
18,199.964265,-16.654704,ASCC_21,82.1423,3.4771,102,1.381,0.292,-0.61,0.237,2.893,0.132,15.313,3.818,343,5,7.102,0.038,-0.008,0.029,0.236,0.048,18.28917915785525,1.886304559284948,37.0,82.13991648376674,3.582465327615332
19,167.459571,14.408764,ASCC_23,95.0305,46.7183,121,1.112,0.205,-0.627,0.218,1.583,0.062,-13.42,1.245,608,12,8.605,0.102,0.025,0.099,0.325,0.097,-13.55247132371177,0.8657595137636025,66.0,95.06428906493514,46.7413734656966
20,214.722541,-0.125228,ASCC_29,103.5647,-1.6507,54,-1.001,0.167,-1.015,0.12,0.954,0.064,,,1008,24,7.892,0.165,-0.096,0.071,0.4,0.046,13.002254284632764,7.890464536661082,17.0,103.57786682461509,-1.6930030383797228
21,219.203233,-1.576935,ASCC_30,104.318,-6.2998,57,-1.582,0.131,-0.166,0.094,0.898,0.049,,,1070,45,8.499,0.107,0.049,0.114,0.635,0.115,20.155883763957807,8.331496570329014,18.0,104.25710499076652,-6.185342358115918
22,238.033538,-9.462314,ASCC_32,105.7112,-26.5758,255,-3.317,0.232,3.475,0.126,1.24,0.067,34.607,4.624,792,11,7.432,0.022,-0.003,0.048,0.22,0.019,32.71739837808821,4.158943376102288,131.0,105.70666591618222,-26.4574925337451
23,219.161918,12.345619,ASCC_41,116.665,0.1802,124,0.652,0.297,-4.03,0.277,3.361,0.121,-10.409,1.935,297,5,8.448,0.223,-0.089,0.056,0.079,0.041,-10.965514096123252,1.6611247245947556,58.0,116.68979535132166,0.1475142127832728
24,281.617068,1.28909,ASCC_58,153.6049,-54.9491,134,-13.29,0.221,2.794,0.305,2.06,0.064,12.331,3.486,477,4,7.775,0.09,0.057,0.038,0.281,0.038,11.705800865017402,2.4745131921075543,64.0,153.64258701026878,-54.98668617002895
25,130.376864,-4.354544,ASCC_6,26.8538,57.7058,133,-0.847,0.113,0.216,0.117,0.619,0.044,,,1444,27,7.852,0.104,-0.069,0.071,0.994,0.046,-42.14480608912139,13.031971284416755,5.0,26.831095851773025,57.7280065133268
26,289.27444,4.822174,ASCC_66,168.362,-55.4297,22,-11.325,0.098,2.961,0.108,0.999,0.045,,,938,57,8.069,0.154,0.042,0.17,0.354,0.109,-2.317414366666249,6.83484352269822,9.0,168.38689151059293,-55.4353964165622
27,294.513141,0.727158,ASCC_67,175.2892,-60.9906,46,-6.775,0.064,0.925,0.059,0.482,0.026,,,1921,89,7.483,0.227,0.215,0.095,0.81,0.044,,,,175.26647278120328,-61.02061274251357
28,299.911223,-4.792909,ASCC_71,184.9792,-67.4796,92,-9.265,0.232,-1.341,0.159,0.795,0.047,-11.371,0.322,1187,33,8.082,0.135,0.063,0.065,0.916,0.041,-11.586844231137114,0.3142077058789759,16.0,185.10336229264328,-67.50550408043487
29,301.63426,-4.379148,ASCC_73,189.5166,-67.2172,62,-11.506,0.34,-2.967,0.389,1.503,0.141,-12.681,3.412,644,11,8.688,0.143,-0.153,0.147,0.69,0.154,-12.879616648877573,4.162918664334518,29.0,189.58035188712563,-67.20519206925626
30,312.013877,-0.859412,ASCC_77,212.723,-62.3219,149,-4.246,0.122,-3.213,0.134,0.844,0.052,,,1068,56,8.083,0.256,0.211,0.113,0.806,0.093,-17.698822780652474,6.740524102607798,43.0,212.6966020535825,-62.33501582891864
31,319.954371,-2.898919,ASCC_79,229.6864,-60.8056,128,-2.942,0.405,-4.214,0.421,1.178,0.069,12.322,1.896,831,4,7.365,0.218,0.043,0.079,0.748,0.064,-1.5257798999811245,2.166627542134641,94.0,229.79392916005304,-60.84308101718934
32,339.811086,-0.2323,ASCC_85,251.8216,-45.5406,115,0.179,0.154,-4.098,0.131,1.125,0.057,19.977,11.123,848,24,8.14,0.125,0.097,0.064,0.73,0.057,9.330647204511251,2.925675751913701,49.0,251.7924010164629,-45.57672797918213
33,355.114363,8.202744,ASCC_87,255.5511,-28.3629,48,-1.173,0.161,-3.83,0.131,1.276,0.077,4.101,2.701,774,26,8.684,0.124,0.141,0.086,0.651,0.102,4.7435386768781695,0.9939550962992936,43.0,255.6600535627196,-28.434833555480523
34,350.044401,2.999323,ASCC_88,256.8848,-35.5211,132,0.926,0.189,-3.283,0.151,1.102,0.061,-22.75,7.581,864,28,8.538,0.24,0.1,0.215,1.851,0.187,-10.56775661363246,0.8992873701855529,23.0,256.87302935648233,-35.55131588298786
35,137.839547,-1.733407,ASCC_9,41.6795,57.7627,88,0.16,0.087,-1.105,0.072,0.409,0.03,,,2322,99,6.945,0.07,-0.159,0.078,2.571,0.041,-62.259631020553385,6.533897886110512,2.0,41.66431634962273,57.72924254112601
36,354.225191,-1.920123,ASCC_90,264.7432,-34.8553,62,-1.618,0.259,-2.706,0.361,1.718,0.053,7.722,0.573,554,16,8.798,0.097,0.083,0.114,0.85,0.088,7.2489312561343375,0.3951682985463852,52.0,264.7206809045324,-34.86066714398852
37,14.251541,-5.590513,ASCC_97,279.2998,-19.1546,27,-2.245,0.386,-6.497,0.278,1.731,0.08,6.079,4.347,564,7,8.228,0.274,0.106,0.202,1.446,0.162,-4.995935240094759,4.447613746241153,15.0,279.2749005033486,-19.13394275693805
38,16.162701,-7.740558,ASCC_99,282.226,-18.4123,60,5.212,0.315,-1.33,0.408,3.384,0.102,-23.2,0.614,294,0,8.489,0.181,-0.04,0.084,0.762,0.09,-32.56960514684489,1.9981192836555897,35.0,282.194327916896,-18.521301043715884
39,123.23873,-13.335053,Alessi_1,13.3195,49.5356,47,6.548,0.153,-6.27,0.267,1.394,0.062,-3.343,1.024,681,15,8.993,0.045,-0.109,0.132,0.416,0.15,-4.693513421513643,0.6041532262972424,30.0,13.323473335527543,49.5225605821864
40,31.59516,-21.029855,Alessi_10,301.206,-10.5452,72,1.458,0.243,-7.846,0.274,2.225,0.086,-12.671,1.819,445,9,8.547,0.131,0.019,0.076,0.496,0.066,-15.258348890621347,1.6842395797091216,24.0,301.22362663901265,-10.546126712162804
41,67.525182,-11.410333,Alessi_12,310.9028,23.8969,303,4.329,0.305,-4.648,0.222,1.825,0.097,-3.374,2.662,539,10,8.195,0.127,-0.023,0.079,0.248,0.087,-8.766147113474487,1.3530003409862918,127.0,310.90225709754566,23.83301841066025
42,237.233006,-56.073113,Alessi_13,51.6126,-35.6459,43,36.164,0.886,-4.636,0.764,9.538,0.251,20.448,1.822,104,1,7.769,0.121,0.231,0.129,0.039,0.026,17.47413953001718,0.4334862687460775,18.0,51.82206881286083,-35.814225125447216
43,231.353282,2.587738,Alessi_17,113.8534,-15.0917,26,-1.554,0.161,1.558,0.116,0.262,0.081,,,3718,201,8.953,0.098,-0.138,0.075,0.81,0.062,,,,113.853293755247,-15.100839123653175
44,241.42375,-2.556775,Alessi_18,114.2948,-26.3896,26,-1.221,0.238,1.886,0.352,0.131,0.091,,,4054,265,8.819,0.728,-0.272,0.09,2.039,0.116,,,,114.294731702092,-26.386548421199976
45,40.614582,12.725729,Alessi_19,274.817,12.5037,67,-1.012,0.202,-7.051,0.205,1.713,0.068,-47.055,1.653,573,5,7.763,0.126,0.129,0.078,0.406,0.066,-7.768905375758422,3.3085873319857377,37.0,274.7386209515642,12.183884711509684
46,152.314262,6.39847,Alessi_2,71.6266,55.2342,174,-0.896,0.163,-1.055,0.178,1.582,0.084,-10.466,1.943,611,9,8.598,0.081,0.057,0.106,0.814,0.112,-11.415952733435423,1.014270595887998,75.0,71.64069239842864,55.18023734112832
47,117.61307,-3.705509,Alessi_20,2.5905,58.7414,110,8.168,0.31,-2.365,0.318,2.315,0.078,-4.979,3.454,423,2,6.991,0.116,-0.104,0.143,1.002,0.119,-7.714459437602366,2.564455451687666,38.0,2.6254574107967583,58.75468937591242
48,223.496818,-0.0103,Alessi_21,107.7113,-9.3962,135,-5.498,0.262,2.587,0.184,1.718,0.083,41.454,2.255,571,1,7.944,0.162,-0.006,0.052,0.37,0.075,38.04340425120226,1.9922619040686291,62.0,107.65528956050235,-9.326061550941043
49,328.876532,-14.576506,Alessi_24,260.6536,-62.7844,159,-0.481,0.264,-8.932,0.239,2.063,0.071,7.304,2.799,482,3,8.457,0.105,0.079,0.058,0.245,0.017,10.18935414530396,2.2808912908385337,70.0,260.81941766515416,-62.66189140269382
50,257.462858,-14.746968,Alessi_3,109.6999,-46.026,168,-9.872,0.53,12.014,0.536,3.559,0.158,2.314,0.927,278,0,8.902,0.057,-0.057,0.045,0.178,0.059,-0.3807098897213915,0.5508444211600904,72.0,109.17353836275572,-46.25170531092184
51,15.297797,7.722606,Alessi_31,267.6653,-11.8817,169,-1.189,0.284,-4.091,0.223,1.483,0.083,,,651,11,8.054,0.308,0.359,0.157,2.147,0.175,1.3100672219551286,5.748108470527082,57.0,267.70557637152484,-11.82149269868946
52,101.761373,-11.411308,Alessi_37,342.0186,46.3276,138,0.355,0.158,-1.579,0.154,1.375,0.07,-10.602,4.37,706,8,8.366,0.147,0.063,0.056,0.676,0.058,-10.426286287591056,2.6454180135527965,63.0,341.9483807992757,46.29973661652637
53,262.570374,1.491221,Alessi_43,132.6413,-41.763,283,-5.501,0.315,3.847,0.324,1.028,0.09,22.806,9.149,937,4,6.763,0.058,-0.051,0.082,0.912,0.054,27.555677252059198,5.090188927449937,39.0,132.63102471296497,-41.74113828534922
54,40.013958,-10.344575,Alessi_44,295.2862,1.4935,214,0.491,0.368,-2.327,0.178,1.505,0.185,-9.767,1.369,668,24,8.056,0.191,0.029,0.078,1.075,0.143,-10.158865174718017,0.9974222004750776,82.0,295.334501735157,1.6095967053835791
55,287.991286,-2.043892,Alessi_5,160.6215,-61.118,242,-15.363,0.34,2.537,0.35,2.492,0.067,11.504,3.074,395,1,7.785,0.136,0.064,0.084,0.404,0.125,9.82113542546535,2.9188189644658906,99.0,160.8448451285972,-61.06963182352773
56,202.26473,-0.653817,Alessi_53,97.3632,9.1794,38,0.469,0.206,-0.237,0.151,0.151,0.091,,,4267,728,8.524,0.628,-0.202,0.191,1.984,0.398,54.76331012438187,1.9560123235422533,3.0,97.35218296905327,9.176268336646428
57,211.072834,1.189701,Alessi_59,103.071,2.1969,11,-0.604,0.238,0.22,0.373,0.199,0.084,,,4387,565,8.755,0.61,-0.094,0.16,1.625,0.088,,,,103.07944615658516,2.194457407866892
58,313.649411,-5.556874,Alessi_6,220.0859,-66.136,170,-10.483,0.194,-5.55,0.161,1.101,0.058,-14.197,0.627,865,21,8.785,0.022,0.148,0.131,0.879,0.154,-14.27389923619574,0.8425309529054028,69.0,220.06277069830008,-66.1419450541664
59,215.186619,1.940484,Alessi_60,105.615,-1.1204,79,-0.83,0.114,-0.665,0.138,0.338,0.06,,,2501,138,8.5,0.176,-0.146,0.074,0.972,0.057,,,,105.61773277604684,-1.1189276037382785
60,52.79554,8.676408,Alessi_62,284.0243,21.5756,141,0.259,0.184,-1.095,0.237,1.592,0.061,13.44,0.86,617,8,8.997,0.034,0.104,0.074,0.846,0.072,12.87884234151168,1.423988753286763,74.0,284.00173726171374,21.611730594621985
