cluster;age_Dias;plx_dist_Dias;iso_dist_Dias;r_sun_Dias;av_Dias;age_Hunt;plx_dist_Hunt;iso_dist_Hunt;r_sun_Hunt;av_Hunt;age_CantatGaudin;plx_dist_CantatGaudin;iso_dist_CantatGaudin;r_sun_CantatGaudin;av_CantatGaudin;iso_age;iso_av
ASCC_105;;;;;;93.4;563.1;553.4;562.7;0.3;74.1;560.9;567.0;560.5;0.4;102.0;0.25
ASCC_107;27.5;894.5;864.0;894.0;1.4;24.3;897.1;867.3;896.6;1.5;17.0;901.7;870.0;901.2;1.7;18.0;1.1
ASCC_114;42.9;940.7;911.0;940.6;1.2;32.5;943.0;917.6;942.8;1.1;47.9;938.1;908.0;937.9;0.9;48.0;0.85
ASCC_115;;;;;;77.8;777.0;753.4;776.3;0.8;131.8;762.8;731.0;762.0;0.7;90.0;0.7
ASCC_123;62.1;233.3;233.0;232.7;0.3;;;;;;44.7;234.6;229.0;234.0;0.0;50.0;0.3
ASCC_127;31.3;382.0;365.0;381.0;0.7;12.2;376.6;374.2;375.5;0.3;18.2;379.8;376.0;378.8;0.4;20.0;0.3
ASCC_16;12.2;351.6;348.0;333.7;0.2;;;;;;13.5;352.4;344.0;334.4;0.2;12.0;0.05
ASCC_19;13.8;362.8;356.0;342.2;0.2;7.4;356.5;352.1;336.3;0.2;10.5;361.3;346.0;340.7;0.1;12.0;0.05
ASCC_21;12.6;345.7;343.0;331.2;0.2;6.9;344.5;340.7;330.3;0.1;8.9;348.9;341.0;334.4;0.1;14.0;0.05
ASCC_32;27.0;806.5;792.0;795.5;0.2;;;;;;25.1;813.0;805.0;802.0;0.3;26.0;0.1
ASCC_58;59.6;485.4;477.0;485.3;0.3;57.0;477.0;471.4;476.9;0.1;52.5;485.4;491.0;485.3;0.2;50.0;0.15
ASCC_66;117.2;1001.0;938.0;997.5;0.4;91.3;971.6;950.9;968.2;0.3;58.9;1001.0;971.0;997.5;0.1;110.0;0.2
ASCC_79;23.2;848.9;831.0;847.8;0.7;5.5;842.7;816.4;841.5;0.6;18.6;850.3;825.0;849.2;0.4;20.0;0.45
ASCC_85;138.0;888.9;848.0;888.9;0.7;124.5;879.7;852.5;879.7;0.5;70.8;893.7;829.0;893.6;0.6;90.0;0.5
ASCC_87;;;;;;;;;;;83.2;787.4;774.0;779.6;0.6;150.0;0.5
Alessi_10;;;;;;106.5;450.7;436.3;420.7;0.3;91.2;447.8;469.0;417.9;0.3;90.0;0.45
Alessi_13;58.7;104.8;104.0;58.5;0.0;;;;;;35.5;104.3;105.0;58.4;0.1;50.0;0.05
Alessi_19;57.9;583.8;573.0;569.4;0.4;36.5;585.2;574.6;570.8;0.3;25.7;584.8;573.0;570.5;0.3;58.0;0.25
Alessi_20;9.8;432.0;423.0;431.1;1.0;6.7;426.8;424.3;425.9;0.6;9.3;432.7;412.0;431.8;0.6;10.0;0.6
Alessi_21;87.9;582.1;571.0;582.1;0.4;79.4;573.3;560.8;573.3;0.2;66.1;581.4;587.0;581.4;0.3;60.0;0.15
Alessi_24;;;;;;99.7;489.7;476.7;473.6;0.2;72.4;485.7;502.0;470.1;0.3;90.0;0.2
Alessi_43;5.8;972.8;937.0;972.4;0.9;4.4;942.7;917.8;942.4;1.1;11.5;969.0;917.0;968.7;1.0;4.0;0.6
Alessi_5;61.0;401.3;395.0;401.0;0.4;56.4;400.5;391.8;400.3;0.4;67.6;399.8;424.0;399.6;0.6;50.0;0.45
Alessi_Teutsch_12;86.1;614.3;605.0;604.2;0.5;;;;;;87.1;612.7;641.0;602.8;0.4;94.0;0.25
Alessi_Teutsch_5;11.8;887.3;869.0;885.0;1.3;;;;;;18.6;900.1;907.0;897.7;1.0;12.0;0.85
Aveni_Hunter_1;9.2;429.2;420.0;418.4;0.5;;;;;;10.5;425.9;402.0;415.3;0.8;10.0;0.25
BDSB91;5.4;982.3;912.0;965.7;1.5;;;;;;14.1;968.1;961.0;951.7;1.8;;
BH_164;46.3;424.6;416.0;422.1;0.4;18.6;421.1;412.2;418.6;0.2;32.4;423.0;438.0;420.5;0.2;40.0;0.2
BH_23;24.6;446.6;436.0;446.6;0.2;9.4;435.6;427.5;435.5;0.1;28.8;443.1;462.0;443.0;0.0;32.0;0.05
BH_56;14.3;925.9;865.0;925.6;0.8;7.6;906.2;879.9;905.9;0.7;17.8;927.6;840.0;927.3;0.7;12.0;0.5
BH_99;62.4;451.9;443.0;451.9;0.3;44.8;449.6;440.2;449.6;0.1;95.5;449.4;467.0;449.4;0.3;46.0;0.1
COIN-Gaia_23;57.1;962.5;912.0;962.5;0.8;66.8;943.7;915.7;943.7;0.5;128.8;969.0;937.0;969.0;0.5;70.0;0.6
COIN-Gaia_8;;;;;;;;;;;100.0;735.8;722.0;725.9;0.4;116.0;0.6
Collinder_132;30.8;666.7;648.0;658.5;0.2;13.9;655.7;637.5;647.0;0.1;24.5;666.2;624.0;657.8;0.0;20.0;0.1
Collinder_135;46.7;304.3;307.0;298.4;0.2;29.8;300.2;295.9;294.6;0.1;26.3;305.1;292.0;299.3;0.0;44.0;0.05
Collinder_140;39.8;391.7;377.0;388.0;0.1;17.3;386.0;376.2;382.3;0.1;26.9;385.5;388.0;381.9;0.0;32.0;0.05
Collinder_197;9.1;974.7;833.0;974.5;1.9;4.0;962.7;924.1;962.5;2.0;14.1;967.1;955.0;967.0;1.4;;
Collinder_359;54.6;559.6;552.0;547.2;0.6;;;;;;37.2;559.9;546.0;546.9;0.5;20.0;0.3
Collinder_394;85.5;719.9;692.0;710.6;0.9;84.0;748.7;703.6;739.0;0.6;91.2;720.5;700.0;711.1;0.5;110.0;0.6
Collinder_69;8.8;407.3;400.0;398.4;0.4;5.2;399.4;393.8;390.7;0.4;12.6;406.2;416.0;397.2;0.2;8.0;0.15
Collinder_95;6.5;701.8;676.0;701.8;0.9;4.3;668.9;651.0;668.9;1.3;19.1;685.9;659.0;685.9;1.5;;
FSR_0398;21.6;956.0;915.0;952.3;2.0;14.0;958.5;924.6;954.8;1.9;18.2;958.8;917.0;955.1;2.0;18.0;1.9
FSR_0551;17.1;949.7;909.0;948.8;1.6;;;;;;13.5;940.7;976.0;939.8;1.1;14.0;1.35
FSR_0686;20.9;917.4;894.0;916.7;1.7;17.1;905.2;879.3;904.5;1.4;;;;;;18.0;1.35
FSR_1117;;;;;;;;;;;15.5;953.3;911.0;933.3;1.5;;
Gulliver_10;12.9;602.0;521.0;601.4;0.3;4.8;593.7;581.3;593.1;2.2;9.3;605.3;613.0;604.7;0.6;;
Gulliver_48;;;;;;;;;;;18.2;945.2;1042.0;944.3;2.9;30.0;2.7
