Cluster,RA_ICRS,DE_ICRS,r50,N,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,RV,e_RV,NRV,Dist,e_Dist,logage,e_logage,[Fe/H],e_[Fe/H],Av,e_Av,FileName,SimbadName,_RA.icrs,_DE.icrs,name,new_x,new_y,bandwidth,memb,new_ra,new_dec
ASCC_10          ,51.8737,35.0113,0.498,31,-1.704,0.168,-1.348,0.141,1.465,0.082, -10.870,  5.243,  3,643,30,8.178,0.155,0.109,0.1,0.82,0.11,clusters1/ASCC_10.dat          ,[KPR2005] 10            ,51.8737,35.0113,ASCC_10,0.1844398759659284,-1.4775763624327585,4.8,0.5,51.89373385687954,34.879635888061976
ASCC_101         ,288.419,36.3653,0.357,72,0.924,0.272,1.364,0.289,2.502,0.068, -19.198,  2.884, 14,397,1,8.521,0.162,0.004,0.064,0.152,0.071,clusters1/ASCC_101.dat         ,[KPR2005] 101           ,288.419,36.3653,ASCC_101,-0.3547349234232086,0.2151837244316023,2.4,0.5,288.355397070048,36.396338868819974
ASCC_105         ,295.6291,27.3637,0.678,126,1.461,0.24,-1.611,0.199,1.786,0.066, -14.302,  4.090, 18,545,8,8.328,0.138,0.051,0.055,0.45,0.039,clusters1/ASCC_105.dat         ,[KPR2005] 105           ,295.6291,27.3637,ASCC_105,-0.8233477487351397,0.3577473280648604,3.8,0.5,295.53160283461233,27.4012760826072
ASCC_107         ,297.1623,22.0071,0.156,59,-0.144,0.135,-5.158,0.141,1.118,0.055,        ,       ,   ,864,30,7.44,0.121,0.353,0.103,1.372,0.129,clusters1/ASCC_107.dat         ,[KPR2005] 107           ,297.1623,22.0071,ASCC_107,-0.0267319826978731,-0.4491859015681774,2.1,0.5,297.1603883659368,21.977312422325838
ASCC_108         ,298.3162,39.3132,0.526,228,-0.509,0.101,-1.691,0.129,0.837,0.048,        ,       ,   ,1138,31,8.334,0.108,0.093,0.093,0.464,0.071,clusters1/ASCC_108.dat         ,[KPR2005] 108           ,298.3162,39.3132,ASCC_108,-0.0919882673691105,1.3408489101646983,8.4,0.5,298.31020812205657,39.38070863505244
ASCC_11          ,53.0779,44.8787,0.285,274,0.95,0.196,-3.022,0.202,1.142,0.064, -14.242,  0.233,  3,849,20,8.66,0.063,-0.056,0.064,0.917,0.075,clusters1/ASCC_11.dat          ,[KPR2005] 11            ,53.0779,44.8787,ASCC_11,-0.2987857503435727,-0.641158487623084,4.9,0.5,53.04946547521029,44.835427118734
ASCC_110         ,300.7723,33.5487,0.205,68,0.278,0.069,-3.134,0.075,0.495,0.036,  -1.178,  0.856,  3,1583,143,8.795,0.084,0.14,0.195,1.228,0.122,clusters1/ASCC_110.dat         ,[KPR2005] 110           ,300.7723,33.5487,ASCC_110,-1.0815207128475564,-1.169933438821568,5.4,0.8,300.7253536470488,33.50634606170442
ASCC_111         ,302.7576,37.4883,0.52,153,-1.168,0.218,-1.525,0.163,1.168,0.063, -22.689,  1.165,  8,819,18,8.507,0.209,0.08,0.096,0.605,0.084,clusters1/ASCC_111.dat         ,[KPR2005] 111           ,302.7576,37.4883,ASCC_111,1.7135384588733729,0.2091752106396072,6.4,0.5,302.9087064279247,37.50283732054031
ASCC_113         ,318.0929,38.5861,0.497,96,0.798,0.134,-3.688,0.145,1.762,0.043,  -4.195,  3.867,  5,559,9,8.455,0.226,-0.052,0.111,0.279,0.132,clusters1/ASCC_113.dat         ,[KPR2005] 113           ,318.0929,38.5861,ASCC_113,-1.628297700979492,-0.7990068328087281,2.7,0.5,317.87963212127084,38.504010505260695
ASCC_114         ,324.979,53.999,0.18,149,-3.754,0.21,-3.435,0.145,1.063,0.039,        ,       ,   ,911,12,7.632,0.271,0.035,0.078,1.216,0.091,clusters1/ASCC_114.dat         ,[KPR2005] 114           ,324.979,53.999,ASCC_114,0.4754089102170056,0.0936867199005888,2.4,0.5,325.0298749361121,54.004881525989255
ASCC_115         ,329.3149,51.524,0.239,38,-0.549,0.085,-0.551,0.107,1.313,0.031,        ,       ,   ,742,17,8.389,0.239,0.05,0.174,0.945,0.204,clusters1/ASCC_115.dat         ,[KPR2005] 115           ,329.3149,51.524,ASCC_115,-0.3144591219692385,0.6402513866658239,2.3,0.5,329.2758308407539,51.5734324768357
