name,RA_ICRS,DE_ICRS,Dist,e_Dist,logage,e_logage,Av,e_Av,r_memb,m_binsize,m_memb,M_class,P_class,R_class,rc,rt,c,n0,unc_rc_max,unc_rt_max,unc_c_max,unc_n0_max,unc_rc_min,unc_rt_min,unc_c_min,unc_n0_min,steps_emcee,M_bp,M_rp,M(rt)_dv,M_bp_dv,M_rp_dv,M(rt_min),M(rt),M(rt_max),unc_M(rt_min),unc_M(rt),unc_M(rt_max)
ASCC_105,295.6291,27.3637,545,8,8.328,0.138,0.45,0.039,0.5,0.5,0.5,M2,P1,R2,5.48805,7.68924,0.05409,9.23754,1.0481,2.5926,0.03,5.7036,-1.4473,-0.9528,-0.0225,-5.2807,200000,119.031,146.65200000000004,147.537,133.016,148.92700000000005,131.526,144.02100000000004,167.03900000000004,5.37,5.6160000000000005,5.735
ASCC_108,298.3162,39.3132,1138,31,8.334,0.108,0.464,0.071,0.5,0.5,0.5,M2,P1,R1,9.13485,16.50477,0.03394,3.00779,2.7228,8.9161,0.0131,3.4479,-2.3368,-2.7589,-0.0096,-1.5232,100000,454.424,498.485,470.692,456.849,492.283,420.227,470.207,618.174,9.201,9.622,11.977
ASCC_11,53.0779,44.8787,849,20,8.66,0.063,0.917,0.075,0.5,0.5,0.5,M2,P1,R2,1.84451,23.12676,0.0386,8.90986,0.048,5.0273,0.0187,0.3048,-0.0458,-3.7012,-0.0129,-0.2676,100000,712.1410000000002,714.555,698.4830000000002,713.432,712.2710000000002,683.7760000000002,692.225,692.225,14.754000000000001,13.564,13.661
ASCC_110,300.7723,33.5487,1583,143,8.795,0.084,1.228,0.122,0.8,1.0,0.8,M2,P2,R1,4.61308,8.96359,0.03134,2.55411,1.6786,10.267000000000001,0.0149,3.3946,-1.5885,-1.9691,-0.0083,-1.5009,100000,274.34,254.871,262.797,280.942,280.813,243.071,250.741,284.37,15.411,12.302999999999999,15.07
ASCC_111,302.7576,37.4883,819,18,8.507,0.209,0.605,0.084,0.5,0.5,0.5,M2,P1,R1,4.35458,11.87036,0.04144,3.30555,2.2768,25.8198,0.0224,6.59,-1.3455,-3.6186,-0.0149,-1.5191,100000,271.776,274.92900000000003,256.918,259.543,263.163,206.827,267.993,395.9980000000001,6.681,8.324,9.782
ASCC_12,72.4335,41.7837,1010,36,8.356,0.262,1.088,0.08199999999999999,0.5,0.5,0.5,M2,P1,R2,6.15851,8.09501,0.06828,14.116970000000002,0.9293,1.5519999999999998,0.0331,7.0594,-1.3359999999999999,-0.6656,-0.0287,-6.8777,100000,340.73,352.324,325.697,331.4790000000001,339.55,323.983,333.645,370.358,9.801,11.421,9.862
ASCC_127,347.1807,64.9151,365,10,7.496,0.131,0.6679999999999999,0.08,0.5,0.5,0.5,M1,P1,R2,2.77665,14.05385,0.13103,4.32416,2.0971,48.5964,0.1256,11.0538,-0.7417,-7.2827,-0.0793,-1.1872,100000,157.77100000000004,178.45,169.761,163.719,179.963,144.751,160.834,160.834,10.933,11.302,11.036
ASCC_13,78.3057,44.4212,1066,26,7.615,0.098,0.915,0.027000000000000003,0.5,0.5,0.5,M2,P1,R1,4.28727,7.924689999999999,0.03885,3.79971,1.3458,5.8267,0.0135,4.5528,-1.2233,-1.376,-0.0117,-2.0566,200000,145.203,145.203,144.939,144.639,144.975,137.68,147.46,237.742,10.456,9.134,14.12
ASCC_16,81.2025,1.6256,348,3,7.087999999999999,0.061,0.224,0.045,0.5,0.5,0.5,M2,P1,R2,3.25796,4.78291,0.5191600000000001,52.75253000000001,0.6586,1.8187,0.2571,39.0259,-0.8215,-0.5533,-0.2804,-28.6744,200000,159.08,176.3,192.361,188.331,206.4,149.24,161.54,183.68,8.827,8.085,7.024
ASCC_29,103.5647,-1.6507,1008,24,7.892,0.165,0.4,0.046,0.5,1.0,0.5,M2,P1,R2,1.87202,14.23432,0.10897,3.1594900000000004,1.2381,50.8894,0.1055,6.7445,-0.4107,-9.1928,-0.0642,-0.6461,100000,160.145,150.18,145.239,161.48,155.344,116.728,131.675,131.675,5.916,7.1610000000000005,7.274
ASCC_32,105.7112,-26.5758,792,11,7.432,0.022,0.22,0.019,0.5,0.5,0.5,M2,P1,R1,6.4911400000000015,33.21587,0.03864,1.5299,1.1005,23.0086,0.0238,0.5094,-0.7496,-10.4032,-0.0135,-0.2641,100000,559.616,702.247,736.288,668.072,739.798,696.7919999999998,696.7919999999998,696.7919999999998,16.023,17.97,19.754
ASCC_6,26.8538,57.7058,1444,27,7.852,0.104,0.994,0.046,0.5,0.5,0.5,M2,P1,R1,2.71142,12.65634,0.05269,4.5899,0.6304,9.5486,0.036000000000000004,2.2155,-0.3851,-4.1096,-0.0233,-0.9193,200000,453.388,436.306,472.212,473.152,458.27,392.889,454.1,475.452,10.495999999999999,10.432,9.618
ASCC_67,175.2892,-60.9906,1921,89,7.483,0.227,0.81,0.044,0.5,1.0,0.5,M2,P1,R2,1.83921,28.79689,0.0299,1.14047,0.3864,41.6491,0.0127,0.3185,-0.2073,-17.6449,-0.0072,-0.1033,200000,347.709,395.959,217.378,319.873,339.0630000000001,156.239,180.747,180.747,5.527,6.2139999999999995,5.785
ASCC_77,212.72299999999998,-62.3219,1068,56,8.083,0.256,0.8059999999999999,0.093,0.5,0.5,0.5,M2,P1,R1,3.37404,5.1831,0.20539,30.75177,0.8146,2.8134,0.1698,24.8847,-1.0655,-0.7206,-0.125,-18.6164,200000,348.509,358.095,356.379,359.755,367.591,317.698,345.086,414.924,11.295,10.35,10.415999999999999
ASCC_87,255.5511,-28.3629,774,26,8.684,0.124,0.6509999999999999,0.102,0.5,1.0,0.5,M2,P1,R2,2.08362,36.65891,0.03305,1.06326,1.1686,40.9557,0.0167,0.5255,-0.5166,-26.1825,-0.0095,-0.1639,100000,238.99,244.421,182.318,247.981,256.242,117.081,149.67,149.67,7.4910000000000005,7.77,7.756
ASCC_88,256.8848,-35.5211,864,28,8.538,0.24,1.851,0.187,0.7,0.5,0.7,M2,P1,R1,3.9648,10.36358,0.02783,3.91218,1.4082,4.5471,0.0107,3.7657,-0.8036,-2.2382,-0.0057,-1.2472,100000,221.961,199.26,246.735,243.58900000000003,234.115,221.33,223.853,239.617,10.061,10.398,10.193999999999999
ASCC_99,282.226,-18.4123,294,0,8.488999999999999,0.181,0.762,0.09,0.5,1.0,0.5,M2,P1,R1,3.55985,9.23422,0.09717,3.66597,1.9632,40.296,0.0835,7.4276,-1.2637,-2.8388,-0.0546,-1.9051,100000,83.866,105.305,95.047,98.191,112.829,64.949,76.29899999999998,76.29899999999998,5.13,4.8069999999999995,4.704
Alessi_10,301.20599999999996,-10.5452,445,9,8.547,0.131,0.496,0.066,0.5,0.5,0.5,M1,P1,R1,0.94852,3.065,0.27605,22.10293,0.5191,25.3327,0.1469,45.6085,-0.2707,-1.1263,-0.1776,-9.6313,500000,83.866,78.821,75.454,77.03,74.639,59.904,81.97399999999998,136.203,5.112,5.224,6.935
Alessi_12,310.9028,23.8969,539,10,8.195,0.127,0.248,0.087,0.5,0.5,0.5,M1,P1,R2,8.66723,11.32153,0.09783,14.22015,1.2551,2.1792,0.0358,7.0376,-1.7785,-0.8569,-0.0372,-6.7749,100000,393.302,419.477,426.757,413.697,426.995,393.973,416.121,463.102,10.795,12.140999999999998,11.298
Alessi_13,51.6126,-35.6459,104,1,7.769,0.121,0.039,0.026,0.5,1.0,0.5,M1,P1,R2,1.40821,10.97572,0.02917,4.25504,0.1741,9.5938,0.0134,0.6442,-0.1638,-3.0958,-0.0068,-0.4908,100000,23.934,22.484,24.118,25.245,24.87,21.759,21.759,23.209,2.114,2.24,2.144
Alessi_3,109.6999,-46.026,278,0,8.902000000000003,0.057,0.17800000000000002,0.059,0.5,0.5,0.5,M1,P1,R1,8.75271,12.26608,0.03113,6.40431,1.6114,2.8710000000000004,0.0129,3.9982,-2.0233,-1.2052,-0.0079,-3.1893,100000,114.137,118.172,136.343,132.405,138.74,116.442,121.63,134.889,8.294,7.135,8.241
Alessi_31,267.6653,-11.8817,651,11,8.054,0.308,2.147,0.175,0.5,0.5,0.5,M2,P2,R2,1.7829700000000002,28.58042,0.04046,6.24539,0.094,22.4335,0.0296,0.4268,-0.0845,-9.3723,-0.0151,-0.3262,100000,535.43,537.485,545.369,529.977,534.992,557.341,557.341,557.341,12.705,13.989,12.655
Alessi_37,342.0186,46.3276,706,8,8.366,0.147,0.6759999999999999,0.058,0.5,0.5,0.5,M1,P1,R2,2.5053400000000003,32.57147,0.04825,2.75911,0.3083,36.5472,0.037000000000000005,0.5238,-0.2097,-15.9447,-0.0204,-0.2302,100000,329.78,325.271,328.136,326.301,328.735,331.0680000000001,331.0680000000001,331.0680000000001,8.852,10.292,8.898
Alessi_43,132.6413,-41.76300000000001,937,4,6.763,0.058,0.912,0.054000000000000006,0.9,0.5,0.9,M2,P1,R1,3.53565,8.14098,0.12972,10.18086,1.6802,23.7663,0.1258,17.1853,-1.2534,-2.0711,-0.0785,-5.6552,100000,327.886,426.854,399.703,364.719,399.661,422.551,445.787,467.302,20.16,19.04,20.708000000000002
Alessi_5,160.6215,-61.118,395,1,7.785,0.136,0.404,0.125,0.5,0.5,0.5,M1,P1,R1,1.77137,15.96355,0.08749,13.79956,0.2974,26.4433,0.0845,3.2739,-0.2035,-6.4703,-0.0489,-1.7286,100000,410.512,446.776,411.535,422.6,435.805,359.017,408.336,441.699,17.705,18.334,18.97
Alessi_6,220.0859,-66.13600000000001,865,21,8.785,0.022,0.879,0.154,0.5,0.5,0.5,M1,P1,R2,1.46177,33.64457,0.04119,7.3822,0.1059,34.8262,0.0292,0.5507,-0.0832,-15.1083,-0.0155,-0.3449,100000,438.354,430.684,442.615,460.829,458.74300000000005,414.165,414.165,414.165,9.829,12.027000000000001,11.582
Alessi_62,284.0243,21.5756,617,8,8.997,0.034,0.846,0.07200000000000001,0.5,1.0,0.5,M2,P1,R1,1.92651,10.71947,0.26792,9.22261,1.3007,50.8182,0.2708,27.8878,-0.4876,-6.3662,-0.1763,-2.5568,100000,289.339,306.2270000000001,313.291,306.624,319.0440000000001,201.524,297.22,297.22,7.0429999999999975,8.658,7.955
Alessi_9,266.0186,-47.2369,207,0,8.593,0.07200000000000001,0.155,0.056,0.5,0.5,0.5,M1,P1,R2,2.30884,35.76534,0.05152,3.48965,0.3508,37.6832,0.0367,0.7112,-0.2259,-19.7859,-0.0224,-0.2896,100000,143.77,170.303,167.66299999999995,161.347,179.699,135.749,153.026,153.026,8.326,7.9570000000000025,8.068
Alessi_Teutsch_3,118.2369,-53.0525,687,7,8.205,0.267,0.696,0.053,0.5,1.0,0.5,M2,P1,R1,1.85129,11.82557,0.06572,3.86826,1.1784,44.3643,0.0481,8.6604,-0.366,-7.0748,-0.0321,-0.8599,200000,200.007,215.443,201.771,197.069,204.827,108.057,209.403,229.538,5.192,6.0420000000000025,7.104
Alessi_Teutsch_5,332.2744,61.0962,869,14,7.0710000000000015,0.054000000000000006,1.253,0.076,0.5,0.5,0.5,M2,P2,R1,5.6806,9.50388,0.1076,7.33655,1.5406,7.3277,0.0565,7.4956,-1.6872,-1.5538,-0.0554,-4.3351,100000,386.221,446.901,432.143,431.805,429.1880000000001,393.601,452.641,541.201,20.529,20.095,19.444000000000006
Alessi_Teutsch_8,180.6485,-60.9481,974,21,8.279,0.071,0.63,0.042,0.5,0.5,0.5,M1,P1,R2,2.25056,26.94342,0.08532000000000001,9.23757,0.2246,31.6242,0.0911,1.3875,-0.1722,-11.0996,-0.0482,-0.7986,100000,927.261,917.397,883.079,913.494,914.313,882.5419999999998,882.5419999999998,882.5419999999998,15.085,17.122,15.204
Aveni_Hunter_1,354.1893,48.1461,420,3,6.965,0.064,0.503,0.111,0.5,0.5,0.5,M2,P1,R2,7.345960000000002,8.8161,0.02897,9.7207,0.7425,0.6669,0.0119,3.0795,-1.0118,-0.4209,-0.0065,-3.2497,100000,81.686,82.52,90.423,90.666,90.546,75.018,77.518,77.518,8.051,8.12,6.76
